"AC005042.2","AC012078.2","AC013437.2","AC093166.2","APLF","ATP2B2.IT2","C8orf49","CAP2P1","CNN3","COPG1","CTB.127C13.1","CTB.147C22.6","CTC.203F4.2","CTD.2021H9.3","CTD.2342I9.1","DPY19L2P2","EXOGP1","FBXL3","FRMD7","HNRNPA1P51","LINC00443","LINC01170","MTHFD2P3","MYC","OR2T1","PPIAP3","RN7SKP195","RN7SKP67","RP11.126O1.5","RP11.227G15.8","RP11.264M12.2","RP11.321E2.3","RP11.344L13.1","RP11.462P6.1","RP11.4B16.1","RP11.570K4.1","RP3.410C9.2","RP6.60B16.1","RPL21P111","SETP20","SPP2","UGT1A12P","UPK1B","WDR13","WIPI1","XKR5","ZKSCAN7P1","ZNF221","ZNF295.AS1","y","ID"
0,0,0,0,6,0,0,0,6,93,0,0,1,0,1,4,0,113,0,0,0,0,0,16,0,0,0,0,2,0,0,0,2,0,3,1,1,0,0,0,0,0,0,51,46,1,0,2,0,1,"HCC.011"
0,1,0,0,4,0,0,0,3,53,2,0,1,0,0,0,0,41,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,28,30,0,0,1,0,1,"HCC.014"
0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,3,0,38,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,54,0,0,0,0,1,"HCC.018"
0,2,1,0,9,0,0,0,7,10,0,0,2,0,2,1,0,41,0,0,0,0,0,20,1,0,0,0,1,1,0,0,6,5,0,3,4,1,0,2,0,0,0,4,9,0,0,0,0,1,"HCC.021"
0,0,0,0,5,0,0,0,10,47,0,0,0,0,0,3,0,106,1,0,0,0,0,15,0,0,0,0,0,0,0,1,1,1,0,1,3,0,0,2,0,0,0,33,48,0,0,0,0,1,"HCC.027"
0,4,3,0,4,0,0,1,19,35,0,1,0,0,2,4,0,28,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,2,2,0,0,0,0,0,1,36,17,0,0,0,0,1,"HCC.029"
0,0,0,0,6,0,0,0,1,9,0,0,0,0,0,2,0,15,1,0,0,0,0,2,1,0,0,0,3,0,0,0,3,0,0,1,1,1,0,2,0,0,1,8,3,0,0,0,0,1,"HCC.035"
1,2,0,0,8,0,1,0,7,18,2,0,1,0,0,5,1,41,1,0,0,0,0,11,0,0,0,0,0,0,0,0,4,13,0,3,1,0,1,0,0,0,0,23,37,0,1,0,0,1,"HCC.040"
0,0,1,1,4,0,0,0,7,5,2,0,0,0,0,4,1,11,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,1,17,39,1,0,0,0,1,"HCC.042"
0,0,0,0,2,0,0,0,9,90,0,0,0,0,0,1,0,88,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,1,"HCC.046"
0,1,0,0,1,0,0,0,4,16,1,0,0,0,1,2,0,30,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,6,11,0,0,3,0,1,"HCC.050"
0,0,0,0,3,0,1,0,4,2,1,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,10,0,0,0,0,1,"HCC.052"
1,0,0,0,0,0,0,0,1,20,2,0,0,0,0,1,0,19,0,0,1,0,0,4,0,1,0,0,0,0,0,0,5,1,0,1,0,0,0,2,0,0,0,10,14,0,0,1,0,1,"HCC.058"
0,0,0,0,1,0,2,0,12,14,0,0,1,0,0,1,1,45,0,0,0,0,0,11,0,0,0,1,2,1,0,0,3,2,0,3,2,0,0,2,0,0,1,25,37,0,0,0,0,1,"HCC.060"
0,0,0,0,2,0,0,0,1,16,0,0,0,0,0,2,0,21,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,1,"HCC.061"
